name,category,subcategory,neighborhood,average_price_level,average_rating,latitude,longitude
McDonald's,gastronomia,fast_food_restaurant,Recife,2,4.4,-8.0508937,-34.895565
SB Jardins,gastronomia,barbecue_restaurant,Recife,2,4.7,-8.0418786,-34.9035422
Gildo Lanches,gastronomia,snack_bar,Recife,1,4.7,-8.0576112,-34.8994573
Portal da Picanha,gastronomia,barbecue_restaurant,Recife,2,4.5,-8.0353877,-34.899360099999996
Subway,gastronomia,restaurant,Recife,2,4.4,-8.0577462,-34.899007
Burger King,gastronomia,fast_food_restaurant,Recife,2,4.5,-8.0621622,-34.8980163
Coco Bambu Derby,gastronomia,seafood_restaurant,Recife,3,4.9,-8.0592474,-34.8983996
Restaurante Caldinho do Nenen - Pina,gastronomia,seafood_restaurant,Recife,2,4.4,-8.087588199999999,-34.889550799999995
McDonald's,gastronomia,fast_food_restaurant,Recife,2,4.4,-8.0608595,-34.905547399999996
Moendo na Laje,gastronomia,restaurant,Recife,2,4.3,-8.0592515,-34.8701112
Bargaço Recife,gastronomia,seafood_restaurant,Recife,3,4.6,-8.069637499999999,-34.8752743
McDonald's,gastronomia,fast_food_restaurant,Recife,2,4.4,-8.056124,-34.8973923
Café Tão - Cafeteria,gastronomia,coffee_shop,Recife,1,4.5,-8.0320986,-34.914814799999995
Pizzaria Atlântico Graças,gastronomia,pizza_restaurant,Recife,2,4.5,-8.0475288,-34.899497000000004
Padaria Triunfo Gourmet,gastronomia,bakery,Recife,2,4.5,-8.0602361,-34.8944994
Entre Amigos O Bode Espinheiro,gastronomia,brazilian_restaurant,Recife,3,4.5,-8.047212199999999,-34.8946914
Quintal - Cozinha pra Torar,gastronomia,restaurant,Recife,2,4.6,-8.029399999999999,-34.879999999999995
Central da Picanha - Rodízio de Carnes,gastronomia,restaurant,Recife,1,4.2,-8.0348484,-34.8925778
Tatu Bola,gastronomia,bar_and_grill,Recife,2,4.8,-8.0916027,-34.8822927
Habib's Rosa e Silva,gastronomia,fast_food_restaurant,Recife,2,4.1,-8.0435303,-34.8975937
